N° DE EXP. ,NOMBRE DEL PREMIO,OTORGANTE,ÁMBITO GEOGRÁFICO,PAÍS
PE 00001,,ORGANIZACIÓN CATÓLICA INTERNACIONAL DEL CINE Y DEL AUDIOVISUAL,AMÉRICA LATINA,
PE 00002,,SOCIEDAD DE CRÍTICOS DE CINE DE INTERNET (ONLINEFILM CRITICS SOCIETY),,
PE 00003,TATÚ CARRETA,,ARGENTINA,ARGENTINA
PE 00004,CÓNDOR DE PLATA,ASOCIACIÓN DE CRONISTAS CINEMATOGRÁFICOS,INTERNACIONAL,ARGENTINA
PE 00005,ORDEN FÉLIX VARELA,GOBIERNO DE CUBA,UNIVERSAL,CUBA
PE 00006,PREMIO NACIONAL DE CINE,INSTITUTO NACIONAL DE ARTES E INDUSTRIAS CINEMATOGRÁFICAS (ICAIC),CUBA,CUBA
PE 00007,,ASOCIACIÓN NACIONAL DE AUTORES CINEMATOGRÁFICOS DE VENEZUELA (ANAC),,VENEZUELA
PE 00008,GRAN PREMIO (GRANDE PRÊMIO),ACADEMIA BRASILEÑA DE CINEMA,,BRASIL
PE 00009,,ACADEMIA EUROPEA DE CINE (EUROPEAN FILM ACADEMY),EUROPA,EUROPA
PE 00010,CÁMARA DE ORO (GOLDENE KAMERA),REVISTA HÖRZU,INTERNACIONAL,ALEMANIA
PE 00011,ALSACIA (ALSACE),,,FRANCIA
PE 00012,CINTA DE ORO / FUENTE DE ORO,,,ALEMANIA
PE 00013,SHAKESPEARE,FUNDACIÓN F.V.S. ,,ALEMANIA
PE 00014,LOLA,ACADEMIA ALEMANA DE CINE (DEUTSCHE FILMAKADEMIE),ALEMANIA,ALEMANIA
PE 00015,PGA,GREMIO DE PRODUCTORES DE LOS ESTADOS UNIDOS,ESTADOS UNIDOS,EUA
PE 00016,FOTOGRAMAS DE PLATA,REVISTA FOTOGRAMAS,ESPAÑA,ESPAÑA
PE 00017,PREMIO NACIONAL DE CINEMATOGRAFÍA,MINISTERIO DE EDUCACIÓN Y CULTURA,ESPAÑA,ESPAÑA
PE 00018,FILM HISTORIA,CENTRO DE INVESTIGACIONES CINEMATOGRÁFICAS DE ESPAÑA,,ESPAÑA
PE 00019,PRÍNCIPE ASTURIAS,FUNDACIÓN PRÍNCIPE DE ASTURIAS,INTERNACIONAL,ESPAÑA
